{158, 72, 107, 103, 76, 73},
{90, 90, 90, 90, 90, 10},
{97, 88, 91, 91, 88, 10},
{105, 86, 93, 93, 87, 10},
{112, 84, 95, 94, 85, 10},
{119, 82, 97, 96, 84, 10},
{125, 80, 99, 97, 83, 10},
{132, 78, 100, 98, 81, 10},
{137, 77, 102, 99, 80, 10},
{142, 76, 103, 100, 79, 10},
{145, 75, 104, 101, 79, 10},
{149, 74, 105, 102, 78, 10},
{151, 73, 105, 102, 78, 10},
{153, 73, 106, 102, 77, 10},
{154, 73, 106, 103, 77, 10},
{156, 72, 107, 103, 77, 10},
{157, 72, 107, 103, 77, 10},
{158, 72, 107, 103, 76, 10},
{158, 72, 107, 103, 76, 73},
{90, 90, 90, 90, 90, 10},
{97, 88, 91, 91, 88, 10},
{104, 86, 93, 92, 87, 10},
{111, 84, 95, 94, 85, 10},
{118, 82, 97, 95, 84, 10},
{124, 81, 98, 96, 83, 10},
{130, 79, 100, 98, 82, 10},
{135, 78, 101, 99, 81, 10},
{140, 76, 103, 100, 80, 10},
{144, 75, 104, 100, 79, 10},
{147, 74, 104, 101, 78, 10},
{149, 74, 105, 102, 78, 10},
{152, 73, 106, 102, 77, 10},
{153, 73, 106, 102, 77, 10},
{155, 72, 107, 103, 77, 10},
{156, 72, 107, 103, 77, 10},
{158, 72, 107, 103, 76, 10},
{158, 72, 107, 103, 76, 73},
{90, 90, 90, 90, 90, 10},
{98, 87, 92, 91, 88, 10},
{106, 85, 94, 93, 86, 10},
{114, 83, 96, 95, 85, 10},
{122, 81, 98, 96, 83, 10},
{129, 79, 100, 98, 82, 10},
{136, 77, 102, 99, 81, 10},
{141, 76, 103, 100, 80, 10},
{147, 75, 104, 101, 78, 10},
{150, 74, 105, 102, 78, 10},
{153, 73, 106, 102, 77, 10},
{155, 72, 106, 103, 77, 10},
{156, 72, 107, 103, 77, 10},
{157, 72, 107, 103, 76, 10},
{157, 72, 107, 103, 76, 10},
{158, 72, 107, 103, 76, 10},
{158, 72, 107, 103, 76, 10},
{158, 72, 107, 103, 76, 73},
{90, 90, 90, 90, 90, 10},
{97, 88, 91, 91, 88, 10},
{105, 86, 93, 93, 87, 10},
{112, 84, 95, 94, 85, 10},
{119, 82, 97, 96, 84, 10},
{126, 80, 99, 97, 83, 10},
{132, 78, 101, 98, 81, 10},
{137, 77, 102, 99, 80, 10},
{142, 76, 103, 100, 79, 10},
{146, 75, 104, 101, 79, 10},
{149, 74, 105, 102, 78, 10},
{151, 73, 105, 102, 78, 10},
{153, 73, 106, 102, 77, 10},
{155, 72, 106, 103, 77, 10},
{156, 72, 107, 103, 77, 10},
{157, 72, 107, 103, 77, 10},
{158, 72, 107, 103, 76, 10},
{158, 72, 107, 103, 76, 73},
{90, 90, 90, 90, 90, 10},
{91, 89, 90, 90, 89, 10},
{92, 89, 90, 90, 89, 10},
{94, 88, 91, 90, 89, 10},
{96, 88, 91, 91, 88, 10},
{100, 87, 92, 92, 87, 10},
{104, 86, 93, 93, 87, 10},
{109, 84, 94, 93, 86, 10},
{113, 83, 96, 94, 85, 10},
{115, 83, 96, 95, 85, 10},
{117, 82, 97, 95, 84, 10},
{118, 82, 97, 95, 84, 10},
{119, 82, 97, 96, 84, 10},
{121, 81, 98, 96, 83, 10},
{123, 81, 98, 96, 83, 10},
{126, 80, 99, 97, 82, 10},
{129, 79, 100, 97, 82, 10},
{131, 79, 100, 98, 81, 10},
{133, 78, 101, 98, 81, 10},
{136, 77, 102, 99, 81, 10},
{138, 77, 102, 99, 80, 10},
{142, 76, 103, 100, 79, 10},
{145, 75, 104, 101, 79, 10},
{148, 74, 105, 101, 78, 10},
{151, 73, 105, 102, 78, 10},
{152, 73, 106, 102, 77, 10},
{154, 73, 106, 103, 77, 10},
{155, 72, 106, 103, 77, 10},
{155, 72, 107, 103, 77, 10},
{156, 72, 107, 103, 77, 10},
{156, 72, 107, 103, 77, 10},
{156, 72, 107, 103, 77, 10},
{157, 72, 107, 103, 77, 10},
{157, 72, 107, 103, 76, 10},
{157, 72, 107, 103, 76, 10},
{157, 72, 107, 103, 76, 10},
{158, 72, 107, 103, 76, 10},
{158, 72, 107, 103, 76, 73},
{90, 90, 90, 90, 90, 10},
{88, 90, 91, 88, 92, 10},
{87, 90, 93, 86, 94, 10},
{85, 91, 95, 84, 97, 10},
{84, 91, 97, 82, 99, 10},
{82, 92, 98, 80, 101, 10},
{81, 92, 100, 78, 104, 10},
{79, 92, 103, 76, 106, 10},
{77, 93, 105, 73, 109, 10},
{73, 94, 109, 68, 115, 10},
{71, 95, 112, 65, 119, 10},
{69, 95, 115, 62, 123, 10},
{67, 96, 117, 60, 125, 10},
{66, 96, 119, 58, 128, 10},
{63, 97, 122, 55, 132, 10},
{60, 98, 125, 51, 136, 10},
{58, 98, 128, 48, 139, 10},
{56, 99, 130, 46, 143, 10},
{55, 99, 132, 45, 144, 10},
{54, 99, 133, 43, 146, 10},
{54, 99, 134, 42, 147, 10},
{53, 100, 135, 41, 148, 10},
{52, 100, 136, 39, 150, 10},
{50, 100, 138, 38, 153, 10},
{48, 101, 140, 35, 156, 10},
{47, 101, 142, 33, 158, 10},
{44, 102, 146, 29, 163, 10},
{41, 103, 149, 26, 167, 10},
{39, 103, 152, 23, 171, 10},
{37, 104, 154, 20, 174, 10},
{36, 104, 156, 19, 176, 10},
{35, 105, 157, 18, 177, 10},
{35, 105, 157, 17, 177, 10},
{34, 105, 157, 17, 178, 10},
{34, 105, 157, 17, 178, 73},
{34, 105, 157, 17, 178, 10},
{34, 105, 157, 17, 178, 10},
{34, 105, 157, 17, 178, 10},
{34, 105, 157, 17, 178, 10},
{34, 105, 157, 17, 178, 10},
{34, 105, 157, 17, 178, 10},
{34, 105, 157, 17, 178, 10},
{34, 105, 157, 17, 178, 10},
{34, 105, 157, 17, 178, 10},
{34, 105, 157, 17, 178, 10},
{34, 105, 157, 17, 178, 73},
{90, 90, 90, 90, 90, 10},
{91, 90, 92, 87, 93, 10},
{92, 90, 94, 85, 97, 10},
{93, 90, 96, 83, 100, 10},
{95, 90, 99, 81, 104, 10},
{96, 90, 101, 79, 107, 10},
{97, 90, 103, 77, 111, 10},
{99, 90, 105, 75, 115, 10},
{100, 90, 108, 73, 118, 10},
{101, 90, 110, 71, 122, 10},
{103, 90, 112, 69, 125, 10},
{104, 90, 114, 67, 129, 10},
{105, 90, 117, 65, 133, 10},
{107, 90, 119, 63, 136, 10},
{108, 90, 121, 61, 140, 10},
{109, 90, 123, 59, 143, 10},
{110, 90, 126, 57, 147, 10},
{112, 90, 128, 55, 151, 10},
{113, 90, 130, 53, 154, 10},
{114, 90, 132, 51, 158, 10},
{116, 90, 135, 49, 161, 10},
{117, 90, 137, 47, 165, 10},
{118, 90, 139, 45, 169, 10},
{120, 90, 141, 43, 172, 10},
{121, 90, 144, 41, 176, 10},
{122, 90, 146, 39, 179, 10},
{122, 90, 146, 39, 179, 73},
{122, 90, 146, 39, 179, 10},
{121, 91, 141, 38, 178, 10},
{120, 93, 135, 38, 177, 10},
{119, 94, 130, 38, 175, 10},
